report_id,coder_id,article_id,city,event_date,side,tactics,participants,num_participants,part_violence,police_eng,end_activity,dist_cause,slogans
1392,03,1528106050Köln_article_363,Köln,2016-01-09,pro-pegida,demonstration,Pegida NRW;hooligans,1700,2,2,NA,NA,Wo wart ihr Silvester? Wo wart ihr Silvester?;Deutschland hat wieder eine Jugend.
1393,03,1528106050Köln_article_363,Köln,2016-01-09,anti-pegida,demonstration,Unser Köln;Köln gegen Rechts,2650,0,0,NA,NA,NA
1394,03,1528106027Köln_article_362,Köln,2016-01-09,pro-pegida,demonstration,Pegida;hooligans,NA,2,2,2,ended by police because of violence by participants,NA
1395,03,1528728003Berlin_article_2096,Berlin,2014-12-22,anti-pegida,demonstration,NA,30,NA,NA,NA,NA,NA
1396,03,1528727670Berlin_article_2081,Berlin,2014-12-22,anti-pegida,demonstration,NoBergida,12,NA,NA,NA,NA,NA
1397,03,1528718121Berlin_article_1986,Berlin,2015-01-05,pro-pegida,demonstration,Bärgida;Patrioten e.V.;NPD;right-wing extremists,450,NA,0,2,counter-demonstrators,NA
1398,03,1528718121Berlin_article_1986,Berlin,2015-01-05,anti-pegida,demonstration;darkening;blockade,"Bündnis gegen Rassismus, Nationalismus und Ausgrenzung;Regierung Berlin;Senat Berlin;Bundesregierung;SPD",6000,NA,0,NA,NA,Wir sind die Mauer
1399,03,1528718121Berlin_article_1986,Berlin,2015-01-05,anti-pegida,demonstration,Türkischer Bund;Die Grünen;churches,1000,NA,0,NA,NA,NA
1400,03,1528718055Berlin_article_1983,Berlin,2015-01-05,pro-pegida,demonstration,Bärgida;Patrioten e.V,NA,NA,0,NA,NA,NA
1401,03,1528718055Berlin_article_1983,Berlin,2015-01-05,anti-pegida,demonstration,"Bündnis gegen Rassismus, Nationalismus und Ausgrenzung;Bundesregierung;SPD;churches;Türkischer Bund;Die Grünen",1500,NA,0,NA,NA,NA
1402,03,1528717894Berlin_article_1980,Berlin,2015-01-05,anti-pegida,demonstration,NA,5000,NA,NA,NA,NA,NA
1403,03,1528717872Berlin_article_1979,Berlin,2015-01-05,pro-pegida,demonstration,Bärgida,300,NA,0,2,counter-demonstrators,NA
1404,03,1528717872Berlin_article_1979,Berlin,2015-01-05,anti-pegida,demonstration;darkening;blockade,SPD;Die Linke;Die Grünen;Antifa;Regierung Berlin;Bundesregierung;Turkish community;Zentralrat der Juden;unions,2000,NA,0,NA,NA,NA
1405,03,1528717849Berlin_article_1978,Berlin,2015-01-05,anti-pegida,demonstration;darkening;blockade,Regierung Berlin,5000,NA,0,NA,NA,NA
1406,03,1528717828Berlin_article_1977,Berlin,2015-01-05,pro-pegida,demonstration,Pegida,NA,NA,NA,NA,NA,NA
1407,03,1528717828Berlin_article_1977,Berlin,2015-01-05,anti-pegida,demonstration,NA,NA,NA,NA,NA,NA,NA
